service_code,rate_zone_code,from_weight_grams,to_weight_grams,price_minor,additional_step_grams,additional_price_minor,source_sheet,source_cell
DOMESTIC_SAVER,21,26001,27001,11151500,,,Domestic saver,L63
DOMESTIC_SAVER,20,26001,27001,19777300,,,Domestic saver,M63
DOMESTIC_SAVER,23,27001,28001,9544800,,,Domestic saver,J64
DOMESTIC_SAVER,22,27001,28001,11014600,,,Domestic saver,K64
DOMESTIC_SAVER,21,27001,28001,11490900,,,Domestic saver,L64
DOMESTIC_SAVER,20,27001,28001,20420700,,,Domestic saver,M64
DOMESTIC_SAVER,23,28001,29001,9872200,,,Domestic saver,J65
DOMESTIC_SAVER,22,28001,29001,11359600,,,Domestic saver,K65
DOMESTIC_SAVER,21,28001,29001,11833400,,,Domestic saver,L65
DOMESTIC_SAVER,20,28001,29001,21063000,,,Domestic saver,M65
DOMESTIC_SAVER,23,29001,30001,10198000,,,Domestic saver,J66
DOMESTIC_SAVER,22,29001,30001,11705900,,,Domestic saver,K66
DOMESTIC_SAVER,21,29001,30001,12174700,,,Domestic saver,L66
DOMESTIC_SAVER,20,29001,30001,21707300,,,Domestic saver,M66
DOMESTIC_SAVER,23,30001,31001,10523400,,,Domestic saver,J67
DOMESTIC_SAVER,22,30001,31001,12051300,,,Domestic saver,K67
DOMESTIC_SAVER,21,30001,31001,12516400,,,Domestic saver,L67
DOMESTIC_SAVER,20,30001,31001,22349200,,,Domestic saver,M67
DOMESTIC_SAVER,23,31001,32001,10850400,,,Domestic saver,J68
DOMESTIC_SAVER,22,31001,32001,12395600,,,Domestic saver,K68
DOMESTIC_SAVER,21,31001,32001,12857000,,,Domestic saver,L68
DOMESTIC_SAVER,20,31001,32001,22992900,,,Domestic saver,M68
DOMESTIC_SAVER,23,32001,33001,11175700,,,Domestic saver,J69
DOMESTIC_SAVER,22,32001,33001,12739300,,,Domestic saver,K69
DOMESTIC_SAVER,21,32001,33001,13200400,,,Domestic saver,L69
DOMESTIC_SAVER,20,32001,33001,23637600,,,Domestic saver,M69
DOMESTIC_SAVER,23,33001,34001,11501000,,,Domestic saver,J70
DOMESTIC_SAVER,22,33001,34001,13085000,,,Domestic saver,K70
DOMESTIC_SAVER,21,33001,34001,13541400,,,Domestic saver,L70
DOMESTIC_SAVER,20,33001,34001,24279500,,,Domestic saver,M70
DOMESTIC_SAVER,23,34001,35001,11828300,,,Domestic saver,J71
DOMESTIC_SAVER,22,34001,35001,13430000,,,Domestic saver,K71
DOMESTIC_SAVER,21,34001,35001,13881600,,,Domestic saver,L71
DOMESTIC_SAVER,20,34001,35001,24923800,,,Domestic saver,M71
DOMESTIC_SAVER,23,35001,40001,13457100,,,Domestic saver,J72
DOMESTIC_SAVER,22,35001,40001,15153500,,,Domestic saver,K72
DOMESTIC_SAVER,21,35001,40001,15586000,,,Domestic saver,L72
DOMESTIC_SAVER,20,35001,40001,28139400,,,Domestic saver,M72
DOMESTIC_SAVER,23,40001,45001,15086600,,,Domestic saver,J73
DOMESTIC_SAVER,22,40001,45001,16877500,,,Domestic saver,K73
DOMESTIC_SAVER,21,40001,45001,17290000,,,Domestic saver,L73
DOMESTIC_SAVER,20,40001,45001,31357300,,,Domestic saver,M73
DOMESTIC_SAVER,23,45001,50001,16715900,,,Domestic saver,J74
DOMESTIC_SAVER,22,45001,50001,18600900,,,Domestic saver,K74
DOMESTIC_SAVER,21,45001,50001,18995100,,,Domestic saver,L74
DOMESTIC_SAVER,20,45001,50001,34574000,,,Domestic saver,M74
DOMESTIC_SAVER,23,50001,55001,18342400,,,Domestic saver,J75
