source_row_id,state_code,city_name,normalized_city_name,centre_area,rate_zone_code,surcharge_code,surcharge_type,surcharge_amount_minor
1175,AN,MBAUKWU,MBAUKWU,ONITSHA,21,524,E,500000
1266,AN,MBESI,MBESI,ONITSHA,21,629,R,700000
1267,AN,MBOSI,MBOSI,ONITSHA,21,629,R,700000
1268,AN,MBUDU ICHIDA,MBUDUICHIDA,ONITSHA,21,629,R,700000
1176,AN,MGBAGO,MGBAGO,ONITSHA,21,524,E,500000
1177,AN,MGBAKWU,MGBAKWU,ONITSHA,21,524,E,500000
1269,AN,MGBUEZENWA,MGBUEZENWA,ONITSHA,21,629,R,700000
1270,AN,MMIATA-ANAM,MMIATAANAM,ONITSHA,21,629,R,700000
1271,AN,MODEBE AVENUE,MODEBEAVENUE,ONITSHA,21,629,R,700000
1178,AN,NANDO,NANDO,ONITSHA,21,524,E,500000
1179,AN,NANKA,NANKA,ONITSHA,21,524,E,500000
1180,AN,NAWFIA,NAWFIA,ONITSHA,21,524,E,500000
1181,AN,NAWGU,NAWGU,ONITSHA,21,524,E,500000
1272,AN,NDIAKPU OTOLO,NDIAKPUOTOLO,ONITSHA,21,629,R,700000
1273,AN,NDIKELIONWU,NDIKELIONWU,ONITSHA,21,629,R,700000
1274,AN,NDIOKPALA -EZE,NDIOKPALAEZE,ONITSHA,21,629,R,700000
1275,AN,NDIOWU,NDIOWU,ONITSHA,21,629,R,700000
1182,AN,NENI,NENI,ONITSHA,21,524,E,500000
1356,AN,Niri,NIRI,ONTISHA,21,524,E,500000
1276,AN,NKOR,NKOR,ONITSHA,21,629,R,700000
1277,AN,NKPOLOGWU,NKPOLOGWU,ONITSHA,21,629,R,700000
1278,AN,NKUNU,NKUNU,ONITSHA,21,629,R,700000
1357,AN,NKWELLE EZUNAKA,NKWELLEEZUNAKA,ONTISHA,21,524,E,500000
1279,AN,NKWO-AGU AMICHI,NKWOAGUAMICHI,ONITSHA,21,629,R,700000
1183,AN,NKWO-OGBE,NKWOOGBE,ONITSHA,21,524,E,500000
1280,AN,NKWUKWE UNUBI,NKWUKWEUNUBI,ONITSHA,21,629,R,700000
1281,AN,NNEISE,NNEISE,ONITSHA,21,629,R,700000
1184,AN,NNEWI,NNEWI,ONITSHA,21,524,E,500000
1185,AN,NNIBO,NNIBO,ONITSHA,21,524,E,500000
1186,AN,NNIMO,NNIMO,ONITSHA,21,524,E,500000
1187,AN,NNOBI,NNOBI,ONITSHA,21,524,E,500000
